Product Name,Category,Price (INR),Description,Brand,Subcategory,Popularity Score
Apple,Fruits,120,Fresh and juicy apples.,SuperMart,Citrus,37
Banana,Fruits,50,Ripe and organic bananas.,FreshFarm,Citrus,26
Mango,Fruits,150,Sweet and tropical mangoes.,SuperMart,Citrus,47
Orange,Fruits,80,Citrusy and refreshing oranges.,FreshFarm,Melons,20
Grapes,Fruits,90,Fresh green and black grapes.,FreshFarm,Tropical Fruits,7
Pineapple,Fruits,100,Tropical and tangy pineapples.,SuperMart,Melons,27
Watermelon,Fruits,60,Juicy and hydrating watermelon.,FreshFarm,Citrus,32
Papaya,Fruits,70,Rich in nutrients and sweet.,SuperMart,Stone Fruits,87
Pomegranate,Fruits,180,Antioxidant-rich pomegranates.,FreshFarm,Tropical Fruits,18
Kiwi,Fruits,200,Exotic and vitamin-rich kiwis.,SuperMart,Tropical Fruits,47
Guava,Fruits,60,Rich in fiber and vitamin C.,OrganicCo,Citrus,78
Strawberry,Fruits,250,Sweet and delicious strawberries.,SuperMart,Melons,91
Chikoo,Fruits,90,Sweet and soft sapodilla fruit.,FreshFarm,Stone Fruits,48
Pear,Fruits,110,Crunchy and juicy pears.,PureChoice,Tropical Fruits,100
Plum,Fruits,130,Sweet and tangy plums.,SuperMart,Berries,70
Lychee,Fruits,220,Juicy and aromatic lychees.,PureChoice,Melons,64
Fig,Fruits,300,Nutritious and delicious figs.,PureChoice,Citrus,97
Mulberry,Fruits,180,Sweet and rich in antioxidants.,DailyNeeds,Melons,44
Cherry,Fruits,350,Premium quality cherries.,PureChoice,Citrus,98
Dragon Fruit,Fruits,400,Exotic and nutrient-rich dragon fruit.,OrganicCo,Melons,58
Tomato,Vegetables,40,Fresh and organic tomatoes.,FreshFarm,Legumes,39
Potato,Vegetables,30,Versatile and fresh potatoes.,FreshFarm,Leafy Greens,51
Onion,Vegetables,50,Essential for daily cooking.,DailyNeeds,Cruciferous,22
Carrot,Vegetables,60,Rich in beta-carotene.,DailyNeeds,Root Vegetables,8
Spinach,Vegetables,40,Nutritious green leafy vegetable.,OrganicCo,Legumes,19
Capsicum,Vegetables,80,Colorful and crunchy capsicums.,PureChoice,Root Vegetables,56
Cabbage,Vegetables,35,Fresh green cabbage.,FreshFarm,Root Vegetables,25
Cauliflower,Vegetables,60,Florets rich in fiber.,FreshFarm,Alliums,18
Pumpkin,Vegetables,40,Sweet and nutritious pumpkin.,FreshFarm,Cruciferous,36
Brinjal,Vegetables,50,Versatile eggplant for curries.,PureChoice,Root Vegetables,15
Cucumber,Vegetables,45,Cooling and hydrating cucumber.,SuperMart,Cruciferous,37
Radish,Vegetables,35,Crisp and peppery radish.,FreshFarm,Root Vegetables,91
